"","PWSID","PWS_NAME","NPM_CANDIDATE","PRIMACY_AGENCY_CODE","EPA_REGION","SEASON_BEGIN_DATE","SEASON_END_DATE","PWS_ACTIVITY_CODE","PWS_DEACTIVATION_DATE","PWS_TYPE_CODE","DBPR_SCHEDULE_CAT_CODE","CDS_ID","GW_SW_CODE","LT2_SCHEDULE_CAT_CODE","OWNER_TYPE_CODE","POPULATION_SERVED_COUNT","POP_CAT_2_CODE","POP_CAT_3_CODE","POP_CAT_4_CODE","POP_CAT_5_CODE","POP_CAT_11_CODE","PRIMACY_TYPE","PRIMARY_SOURCE_CODE","IS_GRANT_ELIGIBLE_IND","IS_WHOLESALER_IND","IS_SCHOOL_OR_DAYCARE_IND","SERVICE_CONNECTIONS_COUNT","SUBMISSION_STATUS_CODE","ORG_NAME","ADMIN_NAME","EMAIL_ADDR","PHONE_NUMBER","PHONE_EXT_NUMBER","FAX_NUMBER","ALT_PHONE_NUMBER","ADDRESS_LINE1","ADDRESS_LINE2","CITY_NAME","ZIP_CODE","COUNTRY_CODE","STATE_CODE","SOURCE_WATER_PROTECTION_CODE","SOURCE_PROTECTION_BEGIN_DATE","OUTSTANDING_PERFORMER","OUTSTANDING_PERFORM_BEGIN_DATE","CITIES_SERVED","COUNTIES_SERVED"
"1257","PA2409009","PLYMOUTH RELIEF","N","PA","03",NA,NA,"I","26-MAY-93","CWS",NA,NA,"SW",NA,"P",59039,2,3,3,4,7,"State","SW","N","N","N",22000,"Y",NA,"PAUL HENDERSEN",NA,"570-829-8770",NA,NA,NA,"39 PUBLIC SQUARE",NA,"WILKES BARRE","18701","US","PA",NA,NA,NA,NA,"Not Reported","Luzerne"
"1258","PA2409010","PAW NESBITT","Y","PA","03",NA,NA,"A",NA,"CWS",NA,NA,"SW",NA,"P",52640,2,3,3,4,7,"State","SW","Y","N","N",23311,"Y","PAW NESBITT","JOHN YAMONA",NA,"570-829-5398",NA,NA,NA,"1799 JUMPER RD",NA,"WILKES-BARRE","18702","US","PA",NA,NA,NA,NA,"Not Reported","Luzerne"
"1259","PA2409011","PAW WATRES","Y","PA","03",NA,NA,"A",NA,"CWS",NA,NA,"SW",NA,"P",51812,2,3,3,4,7,"State","SW","Y","N","N",20791,"Y","PAW WATRES","JOHN YAMONA",NA,"570-829-5398",NA,NA,NA,"1799 JUMPER RD",NA,"WILKES BARRE","18702","US","PA",NA,NA,NA,NA,"Not Reported","Luzerne"
"1260","PA2409013","PAW HUNTSVILLE","Y","PA","03",NA,NA,"A",NA,"CWS",NA,NA,"SW",NA,"P",11963,2,2,2,4,6,"State","SW","Y","N","N",4320,"Y","PAW HUNTSVILLE","JOHN YAMONA",NA,"570-829-5398",NA,NA,NA,"1799 JUMPER RD",NA,"WILKES-BARRE","18702","US","PA",NA,NA,NA,NA,"Not Reported","Luzerne"
"1261","PA2409100","PA GAS %26 WATER COMPANY","N","PA","03",NA,NA,"I","30-APR-87","CWS",NA,NA,"SW",NA,"P",68474,2,3,3,4,7,"State","SW","N","N","N",1,"Y",NA,NA,NA,"570-342-3231",NA,NA,NA,"39 PUBLIC SQUARE",NA,"WILKES-BARRE","18711","US","PA",NA,NA,NA,NA,"Not Reported","Luzerne"
"1262","PA2409102","PA GAS %26 WATER COMPANY","N","PA","03",NA,NA,"I","30-APR-87","CWS",NA,NA,"SW",NA,"P",36503,2,2,2,4,6,"State","SW","N","N","N",1,"Y",NA,NA,NA,"570-342-3231",NA,NA,NA,"39 PUBLIC SQUARE",NA,"WILKES-BARRE","18711","US","PA",NA,NA,NA,NA,"Not Reported","Luzerne"
"1263","PA2409111","PA GAS %26 WATER COMPANY","N","PA","03",NA,NA,"I","30-APR-87","CWS",NA,NA,"SW",NA,"P",141281,2,3,4,5,8,"State","SW","N","N","N",1,"Y",NA,NA,NA,"570-348-3820",NA,NA,NA,"39 PUBLIC SQUARE",NA,"WILKES-BARRE","18711","US","PA",NA,NA,NA,NA,"Not Reported","Luzerne"
"1264","PA2450023","E STROUDSBURG BORO WATER DEPT","Y","PA","03",NA,NA,"A",NA,"CWS",NA,NA,"SW",NA,"L",13000,2,2,2,4,6,"State","SW","Y","N","N",2953,"Y","E STROUDSBURG BORO WATER DEPT","JAMES PHILLIPS",NA,"570-421-8300",NA,NA,NA,"PO BOX 303",NA,"EAST STROUDSBURG","18301","US","PA",NA,NA,NA,NA,"Not Reported","Monroe"
"1265","PA2450034","BRODHEAD CREEK REG WATER AUTH","Y","PA","03",NA,NA,"A",NA,"CWS",NA,NA,"SW",NA,"L",30000,2,2,2,4,6,"State","SW","Y","N","N",5400,"Y","BRODHEAD CREEK REG WATER AUTH","KEN BROWN",NA,"570-421-0998",NA,NA,NA,"410 MILL CREEK ROAD",NA,"EAST STROUDSBURG","18301","US","PA",NA,NA,NA,NA,"Not Reported","Monroe"
"1266","PA2450063","PAWC POCONO DISTRICT","Y","PA","03",NA,NA,"A",NA,"CWS",NA,NA,"GW",NA,"P",17860,2,2,2,4,6,"State","GW","Y","N","N",7949,"Y","PAWC POCONO DISTRICT","DAVID ALTMILLER",NA,"570-894-4008",NA,NA,NA,"578 ROUTE 196",NA,"TOBYHANNA","18466","US","PA",NA,NA,NA,NA,"Not Reported","Monroe"
"1267","PA2451010","POCONO RACEWAY-GRANDSTAND","N","PA","03","05-15","09-30","I","22-APR-91","TNCWS",NA,NA,"GW",NA,"P",30000,2,2,2,4,6,"State","GW","N","N","N",1,"Y",NA,"GEORGE EWALD",NA,"570-646-2300",NA,NA,NA,"PO BOX 500",NA,"MT POCONO","183440000","US","PA",NA,NA,NA,NA,"Not Reported","Monroe"
"1268","PA3060038","MUHLENBERG TWP MUNI AUTH","Y","PA","03",NA,NA,"A",NA,"CWS",NA,NA,"GW",NA,"L",21000,2,2,2,4,6,"State","GW","Y","N","N",7851,"Y","MUHLENBERG TWP MUNI AUTH","JEFF CALPINO, MANAGER",NA,"610-929-4709",NA,NA,NA,"2840 KUTZTOWN RD",NA,"READING","19605","US","PA",NA,NA,NA,NA,"Not Reported","Berks"
"1269","PA3060041","KUTZTOWN BOROUGH WATER","Y","PA","03",NA,NA,"A",NA,"CWS",NA,NA,"SW",NA,"L",14200,2,2,2,4,6,"State","GU","Y","N","N",1902,"Y","KUTZTOWN BOROUGH WATER","DALE KRAMER",NA,"610-683-3202",NA,NA,NA,"45 RAILROAD ST",NA,"KUTZTOWN","19530","US","PA",NA,NA,NA,NA,"Not Reported","Berks"
"1270","PA3060059","READING AREA WATER AUTHORITY","Y","PA","03",NA,NA,"A",NA,"CWS",NA,NA,"SW",NA,"L",87000,2,3,3,4,7,"State","SW","Y","N","N",28500,"Y","READING AREA WATER AUTHORITY","DEAN MILLER",NA,"610-655-6253",NA,NA,NA,"1801 KUTZTOWN ROAD",NA,"READING","19604","US","PA",NA,NA,NA,NA,"Not Reported","Berks"
"1271","PA3060066","WESTERN BERKS WATER AUTH","Y","PA","03",NA,NA,"A",NA,"CWS",NA,NA,"SW",NA,"L",25000,2,2,2,4,6,"State","SW","Y","N","N",18,"Y","WESTERN BERKS WATER AUTH","L E BILGER",NA,"610-678-4400",NA,NA,NA,"91 WATER RD",NA,"SINKING SPRING","19608","US","PA",NA,NA,NA,NA,"Not Reported","Berks"
"1272","PA3060067","SHILLINGTON MUNI AUTH","Y","PA","03",NA,NA,"A",NA,"CWS",NA,NA,"SW",NA,"L",11709,2,2,2,4,6,"State","SWP","Y","N","N",5654,"Y","SHILLINGTON MUNI AUTH","MIKE MOUNTZ",NA,"610-777-1338",NA,NA,NA,"PO BOX 247",NA,"SHILLINGTON","19607","US","PA",NA,NA,NA,NA,"Not Reported","Berks"
"1273","PA3060069","PAW PENN DISTRICT","Y","PA","03",NA,NA,"A",NA,"CWS",NA,NA,"GW",NA,"P",30173,2,2,2,4,6,"State","GW","Y","N","N",13000,"Y","PAW PENN DISTRICT","JENNIFER MILAKEVE",NA,"610-404-1540",NA,NA,NA,"660 LINCOLN ROAD",NA,"BIRDSBORO","19508","US","PA",NA,NA,NA,NA,"Not Reported","Berks"
"1274","PA3060082","MT PENN BORO MUNI AUTH","Y","PA","03",NA,NA,"A",NA,"CWS",NA,NA,"GW",NA,"L",10400,2,2,2,4,6,"State","GW","Y","N","N",3700,"Y","MT PENN BORO MUNI AUTH","CHARLES GETROST- AUTH CHAIRMAN",NA,"610-779-4900",NA,NA,NA,"200 NORTH 25TH ST",NA,"READING","19606","US","PA",NA,NA,NA,NA,"Not Reported","Berks"
"1275","PA3060088","PAW GLEN ALSACE DIV","Y","PA","03",NA,NA,"A",NA,"CWS",NA,NA,"SW",NA,"P",28075,2,2,2,4,6,"State","SWP","Y","N","N",9069,"Y","PAW GLEN ALSACE DIV","JENNIFER MILAKEVE",NA,"610-404-1540",NA,NA,NA,"660 LINCOLN ROAD",NA,"BIRDSBORO","19508","US","PA",NA,NA,NA,NA,"Not Reported","Berks"
"1276","PA3390024","LCA ALLENTOWN DIVISION","Y","PA","03",NA,NA,"A",NA,"CWS",NA,NA,"SW",NA,"L",118000,2,3,4,5,8,"State","SW","Y","N","N",33167,"Y","LCA ALLENTOWN DIVISION","TIM CARLSON",NA,"610-398-2503",NA,NA,NA,"PO BOX 3348",NA,"ALLENTOWN","18106","US","PA",NA,NA,NA,NA,"Not Reported","Lehigh"
"1277","PA3390032","EMMAUS BOROUGH PUBLIC WATER","Y","PA","03",NA,NA,"A",NA,"CWS",NA,NA,"GW",NA,"L",14000,2,2,2,4,6,"State","GW","Y","N","N",4740,"Y","EMMAUS BOROUGH PUBLIC WATER","JOHN DYCHALA",NA,"610-965-9288",NA,NA,NA,"28 S FOURTH STREET",NA,"EMMAUS","18049","US","PA",NA,NA,NA,NA,"Not Reported","Lehigh"
"1278","PA3390065","SWTA - MAIN SYSTEM","Y","PA","03",NA,NA,"A",NA,"CWS",NA,NA,"SW",NA,"L",14500,2,2,2,4,6,"State","SWP","Y","N","N",5902,"Y","SWTA - MAIN SYSTEM","GERALD CHARVALA",NA,"610-398-0407",NA,NA,NA,"4444 WALBERT AVE",NA,"ALLENTOWN","18104","US","PA",NA,NA,NA,NA,"Not Reported","Lehigh"
"1279","PA3390073","LCA WLSA CENTRAL DIVISION","Y","PA","03",NA,NA,"A",NA,"CWS",NA,NA,"SW",NA,"L",47508,2,2,2,4,6,"State","SWP","Y","N","N",15600,"Y","LCA WLSA CENTRAL DIVISION","NATHAN ROUSH",NA,"610-398-2503",NA,NA,NA,"PO BOX 3348",NA,"ALLENTOWN","18106","US","PA",NA,NA,NA,NA,"Not Reported","Lehigh"
"1280","PA3390074","BRUCE PENN HOME DEV-C/O UPR MA","N","PA","03",NA,NA,"I","03-NOV-78","CWS",NA,NA,"GW",NA,"P",12000,2,2,2,4,6,"State","GWP","N","N","N",400,"Y",NA,NA,NA,"610-395-4892",NA,NA,NA,"UPPER MACUNGIE MUN BLDG RD 1",NA,"BRENIGSVILLE","18031","US","PA",NA,NA,NA,NA,"Not Reported","Lehigh"
"1281","PA3390081","WHITEHALL TWP AUTHORITY","Y","PA","03",NA,NA,"A",NA,"CWS",NA,NA,"GW",NA,"L",13063,2,2,2,4,6,"State","GW","Y","N","N",2741,"Y","WHITEHALL TWP AUTHORITY","JOSEPH MCMAHON",NA,"610-770-1155",NA,NA,NA,"1901 SCHADT AVENUE",NA,"WHITEHALL","18052","US","PA",NA,NA,NA,NA,"Not Reported","Lehigh"
"1282","PA3480046","CITY OF BETHLEHEM","Y","PA","03",NA,NA,"A",NA,"CWS",NA,NA,"SW",NA,"L",115845,2,3,4,5,8,"State","SW","Y","N","N",35574,"Y","CITY OF BETHLEHEM","EDWARD J BOSCOLA",NA,"610-865-7207",NA,NA,NA,"10 EAST CHURCH ST",NA,"BETHLEHEM","18018","US","PA",NA,NA,NA,NA,"Not Reported","Northampton"
"1283","PA3480050","EASTON AREA WATER SYSTEM","Y","PA","03",NA,NA,"A",NA,"CWS",NA,NA,"SW",NA,"L",93400,2,3,3,4,7,"State","SW","Y","N","N",31768,"Y","EASTON AREA WATER SYSTEM","ROY WHITE",NA,"610-258-7181",NA,NA,NA,"P.O. BOX 3819",NA,"EASTON","18043","US","PA",NA,NA,NA,NA,"Not Reported","Northampton"
"1284","PA3480055","PAW BLUE MOUNTAIN DIVISION","Y","PA","03",NA,NA,"A",NA,"CWS",NA,NA,"SW",NA,"P",23763,2,2,2,4,6,"State","SW","Y","N","N",9282,"Y","PAW BLUE MOUNTAIN DIVISION","JOHN YAMONA",NA,"570-829-5398",NA,NA,NA,"1799 JUMPER RD",NA,"WILKES-BARRE","18702","US","PA",NA,NA,NA,NA,"Not Reported","Northampton"
"1285","PA3480057","NORTHAMPTON BORO MUNI AUTH","Y","PA","03",NA,NA,"A",NA,"CWS",NA,NA,"SW",NA,"L",40000,2,2,2,4,6,"State","SW","Y","N","N",14048,"Y","NORTHAMPTON BORO MUNI AUTH","STEPHEN KERBACHER",NA,"610-262-6711",NA,NA,NA,"1 CLEAR SPRINGS DR PO BOX 156",NA,"NORTHAMPTON","18067","US","PA",NA,NA,NA,NA,"Not Reported","Northampton"
"1286","PA3480064","EASTON SUBURBAN WATER AUTH","N","PA","03",NA,NA,"I","01-APR-07","CWS",NA,NA,"SW",NA,"L",58900,2,3,3,4,7,"State","SWP","N","N","N",20667,"Y","EASTON SUBURBAN WATER AUTH","ROY WHITE",NA,"610-258-7181",NA,NA,NA,"P.O. BOX 3819",NA,"EASTON","18043","US","PA",NA,NA,NA,NA,"Not Reported","Northampton"
"1287","PA3540038","SCHUYLKILL CO MUN AUTH","Y","PA","03",NA,NA,"A",NA,"CWS",NA,NA,"SW",NA,"L",31850,2,2,2,4,6,"State","SW","Y","N","N",10473,"Y","SCHUYLKILL CO MUN AUTH","PATRIK CAULFIELD",NA,"570-622-8240",NA,NA,NA,"221 S CENTRE STREET",NA,"POTTSVILLE","17901","US","PA",NA,NA,NA,NA,"Not Reported","Schuylkill"
"1288","PA4070023","ALTOONA WATER AUTHORITY","Y","PA","03",NA,NA,"A",NA,"CWS",NA,NA,"SW",NA,"L",62500,2,3,3,4,7,"State","SW","Y","N","N",23034,"Y","ALTOONA WATER AUTHORITY","MARK PERRY",NA,"814-949-2222",NA,NA,NA,"900 CHESTNUT AVE.",NA,"ALTOONA","16601","US","PA",NA,NA,NA,NA,"Not Reported","Blair"
"1289","PA4110017","HIGHLAND S %26 W AUTH BEAVERDAM","Y","PA","03",NA,NA,"A",NA,"CWS",NA,NA,"SW",NA,"L",24310,2,2,2,4,6,"State","SW","Y","N","N",9704,"Y","HIGHLAND S %26 W AUTH BEAVERDAM","EDWARD J ENGLEHART, MANAGER",NA,"814-266-3146",NA,NA,NA,"120 TANK DR",NA,"JOHNSTOWN","15904","US","PA",NA,NA,NA,NA,"Not Reported","Cambria"
"1290","PA4110034","GREATER JOHNSTOWN WA RIVERSIDE","Y","PA","03",NA,NA,"A",NA,"CWS",NA,NA,"SW",NA,"L",49500,2,2,2,4,6,"State","SW","Y","N","N",21569,"Y","GREATER JOHNSTOWN WA RIVERSIDE","EDWARD J CERNIC SR.",NA,"814-533-4300",NA,NA,NA,"PO BOX 1407 640 FRANKLIN ST",NA,"JOHNSTOWN","15907","US","PA",NA,NA,NA,NA,"Not Reported","Cambria"
"1291","PA4110059","PRINCE GALITZIN ST PARK","N","PA","03","01-01","12-31","I","01-MAY-79","TNCWS",NA,NA,"SW",NA,"F",40000,2,2,2,4,6,"State","SW","N","N","N",0,"Y",NA,"PRINCE GALITZIN ST PARK",NA,NA,NA,NA,NA,NA,NA,"FLINTON","16640","US","PA",NA,NA,NA,NA,"Not Reported","Cambria"
"1292","PA4110804","CONSOLIDATED COCA-COLA-BOT CO","N","PA","03","01-01","12-31","I","01-SEP-82","TNCWS",NA,NA,"GW",NA,"P",670000,2,3,4,5,10,"State","GW","N","N","N",0,"Y",NA,"CONSOLIDATED COCA-COLA-BOT CO",NA,"814-472-6112",NA,NA,NA,NA,"RT 422 WEST","EBENSBURG","15931","US","PA",NA,NA,NA,NA,"Not Reported","Cambria"
"1293","PA4140087","PAW PHILIPSBURG","Y","PA","03",NA,NA,"A",NA,"CWS",NA,NA,"SW",NA,"P",20095,2,2,2,4,6,"State","SW","Y","N","N",7600,"Y","PAW PHILIPSBURG","JANE MOORE",NA,"814-342-0995",NA,NA,NA,"1909 OAKLAND AVE",NA,"INDIANA","15701","US","PA",NA,NA,NA,NA,"Not Reported","Centre"
"1294","PA4140095","PENN STATE UNIV.","Y","PA","03",NA,NA,"A",NA,"CWS",NA,NA,"GW",NA,"S",37000,2,2,2,4,6,"State","GW","Y","N","Y",437,"Y","PENN STATE UNIV.","JIM HOSGOOD",NA,"814-863-6187",NA,NA,NA,"501 UNIVERSITY PARK DRIVE",NA,"UNIVERSITY PARK","16802","US","PA",NA,NA,NA,NA,"Not Reported","Centre"
"1295","PA4140096","STATE COLLEGE BORO WATER AUTH.","Y","PA","03",NA,NA,"A",NA,"CWS",NA,NA,"SW",NA,"L",72000,2,3,3,4,7,"State","SW","Y","N","N",14184,"Y","STATE COLLEGE BORO WATER AUTH.","JOHN LICHMAN, EXEC DIR",NA,"814-238-6766",NA,NA,NA,"1201 W. BRANCH ROAD",NA,"STATE COLLEGE","16801","US","PA",NA,NA,NA,NA,"Not Reported","Centre"
"1296","PA4180004","KETTLE CREEK STATE PARK","N","PA","03","01-01","12-31","I","01-MAY-79","TNCWS",NA,NA,"SW",NA,"S",400000,2,3,4,5,9,"State","SW","N","N","N",13,"Y",NA,"KETTLE CREEK STATE PARK",NA,"717-923-9925",NA,NA,NA,NA,"STAR ROUTE","RENOVO","17764","US","PA",NA,NA,NA,NA,"Not Reported","Clinton"
"1297","PA4180011","STOP 64 RESTAURANT","N","PA","03","01-01","12-31","I","01-MAY-79","TNCWS",NA,NA,"GW",NA,"P",13000,2,2,2,4,6,"State","GW","N","N","N",2,"Y",NA,"STOP 64 RESTAURANT",NA,"717-726-4996",NA,NA,NA,NA,"BOX 278","LAMAR","16848","US","PA",NA,NA,NA,NA,"Not Reported","Clinton"
"1298","PA4180070","CENT CLINTON CO WATER FIL AUTH","Y","PA","03",NA,NA,"A",NA,"CWS",NA,NA,"SW",NA,"L",19261,2,2,2,4,6,"State","SW","Y","N","N",1,"Y","CENT CLINTON CO WATER FIL AUTH","LEONARD YOUNG JR.",NA,"570-769-7026",NA,NA,NA,"70 FILTRATION DRIVE",NA,"LOCK HAVEN","17745","US","PA",NA,NA,NA,NA,"Not Reported","Clinton"
"1299","PA4180810","STOP 64 RESTAURANT","N","PA","03","01-01","12-31","I","01-JUL-81","TNCWS",NA,NA,"GW",NA,"P",13000,2,2,2,4,6,"State","GW","N","N","N",2,"Y",NA,"STOP 64 RESTAURANT",NA,"717-726-4996",NA,NA,NA,NA,"BOX 278","LAMAR","16848","US","PA",NA,NA,NA,NA,"Not Reported","Clinton"
"1300","PA4190008","UNITED WATER PA BLOOMSBURG OP","Y","PA","03",NA,NA,"A",NA,"CWS",NA,NA,"SW",NA,"P",24900,2,2,2,4,6,"State","SW","Y","N","N",5135,"Y","UNITED WATER PA BLOOMSBURG OP","GERALD MILLER, MANAGER",NA,"570-784-5466",NA,NA,NA,"90 IRONDALE ROAD",NA,"BLOOMSBURG","17815","US","PA",NA,NA,NA,NA,"Not Reported","Columbia"
"1301","PA4190013","PA AMERICAN WATER BERWICK","Y","PA","03",NA,NA,"A",NA,"CWS",NA,NA,"GW",NA,"P",16000,2,2,2,4,6,"State","GW","Y","N","N",6500,"Y","PA AMERICAN WATER BERWICK","SCOTT SHARP",NA,"570-674-0525",NA,NA,NA,"105 SODOM ROAD",NA,"MILTON","17847","US","PA",NA,NA,NA,NA,"Not Reported","Columbia"
"1302","PA4310001","RAYSTOWN LAKE ARMY CORPS OF EN","N","PA","03","01-01","12-31","I","01-MAY-79","TNCWS",NA,NA,"GW",NA,"F",276200,2,3,4,5,9,"State","GW","N","N","N",20,"Y",NA,"RAYSTOWN LAKE ARMY CORPS OF EN",NA,"814-658-3405",NA,NA,NA,NA,"RD 1 7 PTS RECREATION AREA","HESSTON","16647","US","PA",NA,NA,NA,NA,"Not Reported","Huntingdon"
"1303","PA4310012","HUNTINGDON BORO WATER DEPT","Y","PA","03",NA,NA,"A",NA,"CWS",NA,NA,"SW",NA,"L",13776,2,2,2,4,6,"State","SW","Y","N","N",2730,"Y","HUNTINGDON BORO WATER DEPT","MR. STEVE WILLIAMS",NA,"814-643-3290",NA,NA,NA,"530 WASHINGTON ST. PO BOX 590",NA,"HUNTINGDON","16652","US","PA",NA,NA,NA,NA,"Not Reported","Huntingdon"
"1304","PA4410173","WILLIAMSPORT MUN WATER AUTH","Y","PA","03",NA,NA,"A",NA,"CWS",NA,NA,"SW",NA,"L",51000,2,3,3,4,7,"State","SW","Y","N","N",18376,"Y","WILLIAMSPORT MUN WATER AUTH","WALT NICHOLSON, OPS. CHIEF",NA,"570-323-6140",NA,NA,NA,"253 WEST FOURTH STREET",NA,"WILLIAMSPORT","17701","US","PA",NA,NA,NA,NA,"Not Reported","Lycoming"
"1305","PA4410177","LITTLE PINE STATE PK","N","PA","03","01-01","12-31","I","01-MAY-79","TNCWS",NA,NA,"GW",NA,"F",37000,2,2,2,4,6,"State","GW","N","N","N",0,"Y",NA,"LITTLE PINE STATE PK",NA,NA,NA,NA,NA,NA,"C/O PARK SUPT","WATERVILLE","17776","US","PA",NA,NA,NA,NA,"Not Reported","Lycoming"
"1306","PA4440010","LEWISTOWN BORO MUNI AUTH","Y","PA","03",NA,NA,"A",NA,"CWS",NA,NA,"SW",NA,"L",26765,2,2,2,4,6,"State","SW","Y","N","N",9100,"Y","LEWISTOWN BORO MUNI AUTH","CRAIG BUBB, EXCUTIVE DIRECTOR",NA,"717-248-0167",NA,NA,NA,"70 CHESTNUT ST.",NA,"LEWISTOWN","17044","US","PA",NA,NA,NA,NA,"Not Reported","Mifflin"
"1307","PA4490007","MUNICIPAL AUTHORITY SUNBURY","Y","PA","03",NA,NA,"A",NA,"CWS",NA,NA,"SW",NA,"L",11043,2,2,2,4,6,"State","SW","Y","N","N",4331,"Y","MUNICIPAL AUTHORITY SUNBURY","DAN RAMER",NA,"570-988-1760",NA,NA,NA,"462 SOUTH FOURTH STREET",NA,"SUNBURY","17801","US","PA",NA,NA,NA,NA,"Not Reported","Northumberland"
"1308","PA4490023","PA AMERICAN WHITE DEER","Y","PA","03",NA,NA,"A",NA,"CWS",NA,NA,"SW",NA,"P",29816,2,2,2,4,6,"State","SW","Y","N","N",12113,"Y","PA AMERICAN WHITE DEER","SCOTT SHARP",NA,"570-742-4501",NA,NA,NA,"105 SODOM ROAD",NA,"MILTON","17847","US","PA",NA,NA,NA,NA,"Not Reported","Northumberland"
"1309","PA4490024","AQUA PA ROARING CREEK DIVISION","Y","PA","03",NA,NA,"A",NA,"CWS",NA,NA,"SW",NA,"P",43000,2,2,2,4,6,"State","SW","Y","N","N",17567,"Y","AQUA PA ROARING CREEK DIVISION","TATE HUNSINGER",NA,"570-648-5783",NA,NA,NA,"204 E SUNBURY ST",NA,"SHAMOKIN","17872","US","PA",NA,NA,NA,NA,"Not Reported","Northumberland"
"1310","PA5020011","MOON TWP MUNI AUTH","Y","PA","03",NA,NA,"A",NA,"CWS",NA,NA,"SW",NA,"L",38000,2,2,2,4,6,"State","SW","Y","N","N",7938,"Y","MOON TWP MUNI AUTH","JOHN F RILEY,MANAGER",NA,"412-264-4300",NA,NA,NA,"1700 BEAVER GRADE RD",NA,"CORAOPOLIS","15108","US","PA",NA,NA,NA,NA,"Not Reported","Allegheny"
"1311","PA5020018","RICHLAND TWP WATER AUTHORITY","Y","PA","03",NA,NA,"A",NA,"CWS",NA,NA,"SW",NA,"L",10190,2,2,2,4,6,"State","SWP","Y","N","N",3780,"Y","RICHLAND TWP WATER AUTHORITY","SCOTT TRZECIAK,SYSTEM SPVR",NA,"724-443-9100",NA,NA,NA,"2012 KRAMER RD",NA,"GIBSONIA","15044","US","PA",NA,NA,NA,NA,"Not Reported","Allegheny"
"1312","PA5020019","HAMPTON SHALER WATER AUTHORITY","Y","PA","03",NA,NA,"A",NA,"CWS",NA,NA,"SW",NA,"L",58899,2,3,3,4,7,"State","SWP","Y","N","N",24021,"Y","HAMPTON SHALER WATER AUTHORITY","SAM SCARFONE, EXECUTIVE DIRECT",NA,"412-486-4867",NA,NA,NA,"P.O. BOX 66",NA,"ALLISON PARK","15101","US","PA",NA,NA,NA,NA,"Not Reported","Allegheny"
"1313","PA5020025","WEST CNTY MUNI AUTH-MCKEESPORT","Y","PA","03",NA,NA,"A",NA,"CWS",NA,NA,"SW",NA,"L",32644,2,2,2,4,6,"State","SW","Y","N","N",14838,"Y","WEST CNTY MUNI AUTH-MCKEESPORT","CHRISTOPHER KERR",NA,"800-442-6829",NA,NA,NA,"PO BOX 730",NA,"GREENSBURG","15601","US","PA",NA,NA,NA,NA,"Not Reported","Allegheny"
"1314","PA5020027","MONROEVILLE MUNICIPAL AUTH","Y","PA","03",NA,NA,"A",NA,"CWS",NA,NA,"SW",NA,"L",48500,2,2,2,4,6,"State","SWP","Y","N","N",10582,"Y","MONROEVILLE MUNICIPAL AUTH","JAMES HUNTER, G.M.",NA,"412-372-0915",NA,NA,NA,"219 SPEELMAN LANE",NA,"MONROEVILLE","15146","US","PA",NA,NA,NA,NA,"Not Reported","Allegheny"
"1315","PA5020028","CLEARVIEW WATER SUPPLY COMPANY","N","PA","03",NA,NA,"I","06-JAN-87","CWS",NA,NA,"SW",NA,"P",13000,2,2,2,4,6,"State","SW","N","N","N",4483,"Y",NA,"1705 REAR FREEPORT ROAD",NA,"724-226-2500",NA,NA,NA,"PO BOX 175",NA,"NATRONA HEIGHTS","15065","US","PA",NA,NA,NA,NA,"Not Reported","Allegheny"
"1316","PA5020030","NORTH VERSAILLES TWP AUTH","N","PA","03",NA,NA,"I","08-MAY-96","CWS",NA,NA,"SW",NA,"L",11718,2,2,2,4,6,"State","SWP","N","N","N",4195,"Y",NA,"JOSEPH MIRENZI, CHAIRMAN",NA,"412-824-1198",NA,NA,NA,"1401 GREENSBURG AVE",NA,"NORTH VERSAILLES","15137","US","PA",NA,NA,NA,NA,"Not Reported","Allegheny"
"1317","PA5020034","WESTERN ALLEGHENY COUNTY MUN A","Y","PA","03",NA,NA,"A",NA,"CWS",NA,NA,"SW",NA,"L",19031,2,2,2,4,6,"State","SWP","Y","N","N",6802,"Y","WESTERN ALLEGHENY COUNTY MUN A","CHAIRMAN",NA,"412-788-4337",NA,NA,NA,"403 VIRGINIA DR",NA,"OAKDALE","15071","US","PA",NA,NA,NA,NA,"Not Reported","Allegheny"
"1318","PA5020036","OAKMONT WATER AUTHORITY","Y","PA","03",NA,NA,"A",NA,"CWS",NA,NA,"SW",NA,"L",42410,2,2,2,4,6,"State","SW","Y","N","N",16701,"Y","OAKMONT WATER AUTHORITY","JOHN D DUNLAP, GEN MGR",NA,"412-828-7220",NA,NA,NA,"PO BOX 73",NA,"OAKMONT","15139","US","PA",NA,NA,NA,NA,"Not Reported","Allegheny"
"1319","PA5020038","PITTSBURGH WATER %26 SEWER AUTH","Y","PA","03",NA,NA,"A",NA,"CWS",NA,NA,"SW",NA,"L",520000,2,3,4,5,10,"State","SW","Y","N","N",74030,"Y","PITTSBURGH WATER %26 SEWER AUTH","DAVID DONAHOE, INTERIM EX DIR",NA,"412-782-7553",NA,NA,NA,"1200 PENN AVE.",NA,"PITTSBURGH","15222","US","PA",NA,NA,NA,NA,"Not Reported","Allegheny"
